time_s,time_min,depth_m,fluid,share,source
4.0,0.0667,30.0,钻井液,1.0,1D_casing
4.0,0.0667,60.0,钻井液,1.0,1D_casing
4.0,0.0667,90.0,钻井液,1.0,1D_casing
4.0,0.0667,120.0,钻井液,1.0,1D_casing
4.0,0.0667,150.0,钻井液,1.0,1D_casing
4.0,0.0667,180.0,钻井液,1.0,1D_casing
4.0,0.0667,210.0,钻井液,1.0,1D_casing
4.0,0.0667,240.0,钻井液,1.0,1D_casing
4.0,0.0667,270.0,钻井液,1.0,1D_casing
4.0,0.0667,300.0,钻井液,1.0,1D_casing
4.0,0.0667,330.0,钻井液,1.0,1D_casing
4.0,0.0667,360.0,钻井液,1.0,1D_casing
4.0,0.0667,390.0,钻井液,1.0,1D_casing
4.0,0.0667,420.0,钻井液,1.0,1D_casing
4.0,0.0667,450.0,钻井液,1.0,1D_casing
4.0,0.0667,480.0,钻井液,1.0,1D_casing
4.0,0.0667,510.0,钻井液,1.0,1D_casing
4.0,0.0667,540.0,钻井液,1.0,1D_casing
4.0,0.0667,570.0,钻井液,1.0,1D_casing
4.0,0.0667,600.0,钻井液,1.0,1D_casing
4.0,0.0667,630.0,钻井液,1.0,1D_casing
4.0,0.0667,660.0,钻井液,1.0,1D_casing
4.0,0.0667,690.0,钻井液,1.0,1D_casing
4.0,0.0667,720.0,钻井液,1.0,1D_casing
4.0,0.0667,750.0,钻井液,1.0,1D_casing
4.0,0.0667,780.0,钻井液,1.0,1D_casing
4.0,0.0667,810.0,钻井液,1.0,1D_casing
4.0,0.0667,840.0,钻井液,1.0,1D_casing
4.0,0.0667,870.0,钻井液,1.0,1D_casing
4.0,0.0667,900.0,钻井液,1.0,1D_casing
4.0,0.0667,930.0,钻井液,1.0,1D_casing
4.0,0.0667,960.0,钻井液,1.0,1D_casing
4.0,0.0667,990.0,钻井液,1.0,1D_casing
4.0,0.0667,1020.0,钻井液,1.0,1D_casing
4.0,0.0667,1050.0,钻井液,1.0,1D_casing
4.0,0.0667,1080.0,钻井液,1.0,1D_casing
4.0,0.0667,1110.0,钻井液,1.0,1D_casing
4.0,0.0667,1140.0,钻井液,1.0,1D_casing
4.0,0.0667,1170.0,钻井液,1.0,1D_casing
4.0,0.0667,1200.0,钻井液,1.0,1D_casing
4.0,0.0667,1230.0,钻井液,1.0,1D_casing
4.0,0.0667,1260.0,钻井液,1.0,1D_casing
4.0,0.0667,1290.0,钻井液,1.0,1D_casing
4.0,0.0667,1320.0,钻井液,1.0,1D_casing
4.0,0.0667,1350.0,钻井液,1.0,1D_casing
4.0,0.0667,1380.0,钻井液,1.0,1D_casing
4.0,0.0667,1410.0,钻井液,1.0,1D_casing
4.0,0.0667,1440.0,钻井液,1.0,1D_casing
4.0,0.0667,1470.0,钻井液,1.0,1D_casing
4.0,0.0667,1500.0,钻井液,1.0,1D_casing
4.0,0.0667,1530.0,钻井液,1.0,1D_casing
4.0,0.0667,1560.0,钻井液,1.0,1D_casing
4.0,0.0667,1590.0,钻井液,1.0,1D_casing
4.0,0.0667,1620.0,钻井液,1.0,1D_casing
4.0,0.0667,1650.0,钻井液,1.0,1D_casing
4.0,0.0667,1680.0,钻井液,1.0,1D_casing
4.0,0.0667,1710.0,钻井液,1.0,1D_casing
4.0,0.0667,1740.0,钻井液,1.0,1D_casing
4.0,0.0667,1770.0,钻井液,1.0,1D_casing
4.0,0.0667,1800.0,钻井液,1.0,1D_casing
4.0,0.0667,1830.0,钻井液,1.0,1D_casing
4.0,0.0667,1860.0,钻井液,1.0,1D_casing
4.0,0.0667,1890.0,钻井液,1.0,1D_casing
4.0,0.0667,1920.0,钻井液,1.0,1D_casing
4.0,0.0667,1950.0,钻井液,1.0,1D_casing
4.0,0.0667,1980.0,钻井液,1.0,1D_casing
4.0,0.0667,2010.0,钻井液,1.0,1D_casing
4.0,0.0667,2040.0,钻井液,1.0,1D_casing
4.0,0.0667,2070.0,钻井液,1.0,1D_casing
4.0,0.0667,2100.0,钻井液,1.0,1D_casing
4.0,0.0667,2130.0,钻井液,1.0,1D_casing
4.0,0.0667,2160.0,钻井液,1.0,1D_casing
4.0,0.0667,2190.0,钻井液,1.0,1D_casing
4.0,0.0667,2220.0,钻井液,1.0,1D_casing
4.0,0.0667,2250.0,钻井液,1.0,1D_casing
4.0,0.0667,2280.0,钻井液,1.0,1D_casing
4.0,0.0667,2310.0,钻井液,1.0,1D_casing
4.0,0.0667,2340.0,钻井液,1.0,1D_casing
4.0,0.0667,2370.0,钻井液,1.0,1D_casing
4.0,0.0667,2400.0,钻井液,1.0,1D_casing
4.0,0.0667,2430.0,钻井液,1.0,1D_casing
4.0,0.0667,2460.0,钻井液,1.0,1D_casing
4.0,0.0667,2490.0,钻井液,1.0,1D_casing
4.0,0.0667,2520.0,钻井液,1.0,1D_casing
4.0,0.0667,2550.0,钻井液,1.0,1D_casing
4.0,0.0667,2580.0,钻井液,1.0,1D_casing
4.0,0.0667,2610.0,钻井液,1.0,1D_casing
4.0,0.0667,2640.0,钻井液,1.0,1D_casing
4.0,0.0667,2670.0,钻井液,1.0,1D_casing
4.0,0.0667,2700.0,钻井液,1.0,1D_casing
4.0,0.0667,2730.0,钻井液,1.0,1D_casing
4.0,0.0667,2760.0,钻井液,1.0,1D_casing
4.0,0.0667,2790.0,钻井液,1.0,1D_casing
4.0,0.0667,2820.0,钻井液,1.0,1D_casing
4.0,0.0667,2850.0,钻井液,1.0,1D_casing
4.0,0.0667,2880.0,钻井液,1.0,1D_casing
4.0,0.0667,2910.0,钻井液,1.0,1D_casing
4.0,0.0667,2940.0,钻井液,1.0,1D_casing
4.0,0.0667,2970.0,钻井液,1.0,1D_casing
4.0,0.0667,3000.0,钻井液,1.0,1D_casing
4.0,0.0667,3030.0,钻井液,1.0,1D_casing
4.0,0.0667,3060.0,钻井液,1.0,1D_casing
4.0,0.0667,3090.0,钻井液,1.0,1D_casing
4.0,0.0667,3120.0,钻井液,1.0,1D_casing
4.0,0.0667,3150.0,钻井液,1.0,1D_casing
4.0,0.0667,3180.0,钻井液,1.0,1D_casing
4.0,0.0667,3210.0,钻井液,1.0,1D_casing
4.0,0.0667,3240.0,钻井液,1.0,1D_casing
4.0,0.0667,3270.0,钻井液,1.0,1D_casing
4.0,0.0667,3291.897,钻井液,1.0,1D_casing
4.0,0.0667,3300.0,钻井液,1.0,1D_casing
4.0,0.0667,3330.0,钻井液,1.0,1D_casing
4.0,0.0667,3360.0,钻井液,1.0,1D_casing
4.0,0.0667,3390.0,钻井液,1.0,1D_casing
4.0,0.0667,3420.0,钻井液,1.0,1D_casing
4.0,0.0667,3450.0,钻井液,1.0,1D_casing
4.0,0.0667,3480.0,钻井液,1.0,1D_casing
4.0,0.0667,3510.0,钻井液,1.0,1D_casing
4.0,0.0667,3540.0,钻井液,1.0,1D_casing
4.0,0.0667,3570.0,钻井液,1.0,1D_casing
4.0,0.0667,3600.0,钻井液,1.0,1D_casing
4.0,0.0667,3630.0,钻井液,1.0,1D_casing
4.0,0.0667,3660.0,钻井液,1.0,1D_casing
4.0,0.0667,3690.0,钻井液,1.0,1D_casing
4.0,0.0667,3720.0,钻井液,1.0,1D_casing
4.0,0.0667,3750.0,钻井液,1.0,1D_casing
4.0,0.0667,3780.0,钻井液,1.0,1D_casing
4.0,0.0667,3810.0,钻井液,1.0,1D_casing
4.0,0.0667,3840.0,钻井液,1.0,1D_casing
4.0,0.0667,3870.0,钻井液,1.0,1D_casing
4.0,0.0667,3900.0,钻井液,1.0,1D_casing
4.0,0.0667,3930.0,钻井液,1.0,1D_casing
4.0,0.0667,3960.0,钻井液,1.0,1D_casing
4.0,0.0667,3990.0,钻井液,1.0,1D_casing
4.0,0.0667,4020.0,钻井液,1.0,1D_casing
4.0,0.0667,4050.0,钻井液,1.0,1D_casing
4.0,0.0667,4080.0,钻井液,1.0,1D_casing
4.0,0.0667,4110.0,钻井液,1.0,1D_casing
4.0,0.0667,4140.0,钻井液,1.0,1D_casing
4.0,0.0667,4170.0,钻井液,1.0,1D_casing
4.0,0.0667,4200.0,钻井液,1.0,1D_casing
4.0,0.0667,4230.0,钻井液,1.0,1D_casing
4.0,0.0667,4260.0,钻井液,1.0,1D_casing
4.0,0.0667,4290.0,钻井液,1.0,1D_casing
4.0,0.0667,4320.0,钻井液,1.0,1D_casing
4.0,0.0667,4350.0,钻井液,1.0,1D_casing
4.0,0.0667,4380.0,钻井液,1.0,1D_casing
4.0,0.0667,4410.0,钻井液,1.0,1D_casing
4.0,0.0667,4440.0,钻井液,1.0,1D_casing
4.0,0.0667,4470.0,钻井液,1.0,1D_casing
4.0,0.0667,4500.0,钻井液,1.0,1D_casing
4.0,0.0667,4530.0,钻井液,1.0,1D_casing
4.0,0.0667,4560.0,钻井液,1.0,1D_casing
4.0,0.0667,4590.0,钻井液,1.0,1D_casing
4.0,0.0667,4620.0,钻井液,1.0,1D_casing
4.0,0.0667,4650.0,钻井液,1.0,1D_casing
4.0,0.0667,4680.0,钻井液,1.0,1D_casing
4.0,0.0667,4710.0,钻井液,1.0,1D_casing
4.0,0.0667,4740.0,钻井液,1.0,1D_casing
4.0,0.0667,4770.0,钻井液,1.0,1D_casing
4.0,0.0667,4800.0,钻井液,1.0,1D_casing
4.0,0.0667,4830.0,钻井液,1.0,1D_casing
4.0,0.0667,4860.0,钻井液,1.0,1D_casing
4.0,0.0667,4890.0,钻井液,1.0,1D_casing
4.0,0.0667,4920.0,钻井液,1.0,1D_casing
4.0,0.0667,4950.0,钻井液,1.0,1D_casing
4.0,0.0667,4980.0,钻井液,1.0,1D_casing
4.0,0.0667,5010.0,钻井液,1.0,1D_casing
4.0,0.0667,5040.0,钻井液,1.0,1D_casing
4.0,0.0667,5070.0,钻井液,1.0,1D_casing
4.0,0.0667,5090.0,钻井液,1.0,1D_casing
4.0,0.0667,5100.0,钻井液,1.0,1D_casing
4.0,0.0667,5130.0,钻井液,1.0,1D_casing
4.0,0.0667,5160.0,钻井液,1.0,1D_casing
4.0,0.0667,5190.0,钻井液,1.0,1D_casing
4.0,0.0667,5220.0,钻井液,1.0,1D_casing
4.0,0.0667,5250.0,钻井液,1.0,1D_casing
4.0,0.0667,5277.754,钻井液,1.0,1D_casing
4.0,0.0667,5280.0,钻井液,1.0,1D_casing
4.0,0.0667,5310.0,lead,0.0,2D_annulus
4.0,0.0667,5310.0,tail,0.0,2D_annulus
4.0,0.0667,5310.0,spacer,0.0,2D_annulus
4.0,0.0667,5310.0,mud,1.0,2D_annulus
4.0,0.0667,5340.0,lead,0.0,2D_annulus
4.0,0.0667,5340.0,tail,0.0,2D_annulus
4.0,0.0667,5340.0,spacer,0.0,2D_annulus
4.0,0.0667,5340.0,mud,1.0,2D_annulus
4.0,0.0667,5370.0,lead,0.0,2D_annulus
4.0,0.0667,5370.0,tail,0.0,2D_annulus
4.0,0.0667,5370.0,spacer,0.0,2D_annulus
4.0,0.0667,5370.0,mud,1.0,2D_annulus
4.0,0.0667,5400.0,lead,0.0,2D_annulus
4.0,0.0667,5400.0,tail,0.0,2D_annulus
4.0,0.0667,5400.0,spacer,0.0,2D_annulus
4.0,0.0667,5400.0,mud,1.0,2D_annulus
4.0,0.0667,5430.0,lead,0.0,2D_annulus
4.0,0.0667,5430.0,tail,0.0,2D_annulus
4.0,0.0667,5430.0,spacer,0.0,2D_annulus
4.0,0.0667,5430.0,mud,1.0,2D_annulus
4.0,0.0667,5460.0,lead,0.0,2D_annulus
4.0,0.0667,5460.0,tail,0.0,2D_annulus
4.0,0.0667,5460.0,spacer,0.0,2D_annulus
4.0,0.0667,5460.0,mud,1.0,2D_annulus
4.0,0.0667,5490.0,lead,0.0,2D_annulus
4.0,0.0667,5490.0,tail,0.0,2D_annulus
4.0,0.0667,5490.0,spacer,0.0,2D_annulus
4.0,0.0667,5490.0,mud,1.0,2D_annulus
4.0,0.0667,5520.0,lead,0.0,2D_annulus
4.0,0.0667,5520.0,tail,0.0,2D_annulus
4.0,0.0667,5520.0,spacer,0.0,2D_annulus
4.0,0.0667,5520.0,mud,1.0,2D_annulus
4.0,0.0667,5550.0,lead,0.0,2D_annulus
4.0,0.0667,5550.0,tail,0.0,2D_annulus
4.0,0.0667,5550.0,spacer,0.0,2D_annulus
4.0,0.0667,5550.0,mud,1.0,2D_annulus
4.0,0.0667,5568.0,lead,0.0,2D_annulus
4.0,0.0667,5568.0,tail,0.0,2D_annulus
4.0,0.0667,5568.0,spacer,0.0,2D_annulus
4.0,0.0667,5568.0,mud,1.0,2D_annulus
4.0,0.0667,5570.0,lead,0.0,2D_annulus
4.0,0.0667,5570.0,tail,0.0,2D_annulus
4.0,0.0667,5570.0,spacer,0.0,2D_annulus
4.0,0.0667,5570.0,mud,1.0,2D_annulus
4.0,0.0667,5600.0,lead,0.0,2D_annulus
4.0,0.0667,5600.0,tail,0.0,2D_annulus
4.0,0.0667,5600.0,spacer,0.0,2D_annulus
4.0,0.0667,5600.0,mud,1.0,2D_annulus
4.0,0.0667,5630.0,lead,0.0,2D_annulus
4.0,0.0667,5630.0,tail,0.0,2D_annulus
4.0,0.0667,5630.0,spacer,0.0,2D_annulus
4.0,0.0667,5630.0,mud,1.0,2D_annulus
4.0,0.0667,5660.0,lead,0.0,2D_annulus
4.0,0.0667,5660.0,tail,0.0,2D_annulus
4.0,0.0667,5660.0,spacer,0.0,2D_annulus
4.0,0.0667,5660.0,mud,1.0,2D_annulus
4.0,0.0667,5690.0,lead,0.0,2D_annulus
4.0,0.0667,5690.0,tail,0.0,2D_annulus
4.0,0.0667,5690.0,spacer,0.0,2D_annulus
4.0,0.0667,5690.0,mud,1.0,2D_annulus
4.0,0.0667,5720.0,lead,0.0,2D_annulus
4.0,0.0667,5720.0,tail,0.0,2D_annulus
4.0,0.0667,5720.0,spacer,0.0,2D_annulus
4.0,0.0667,5720.0,mud,1.0,2D_annulus
4.0,0.0667,5750.0,lead,0.0,2D_annulus
4.0,0.0667,5750.0,tail,0.0,2D_annulus
4.0,0.0667,5750.0,spacer,0.0,2D_annulus
4.0,0.0667,5750.0,mud,1.0,2D_annulus
4.0,0.0667,5780.0,lead,0.0,2D_annulus
4.0,0.0667,5780.0,tail,0.0,2D_annulus
4.0,0.0667,5780.0,spacer,0.0,2D_annulus
4.0,0.0667,5780.0,mud,1.0,2D_annulus
4.0,0.0667,5810.0,lead,0.0,2D_annulus
4.0,0.0667,5810.0,tail,0.0,2D_annulus
4.0,0.0667,5810.0,spacer,0.0,2D_annulus
4.0,0.0667,5810.0,mud,1.0,2D_annulus
4.0,0.0667,5840.0,lead,0.0,2D_annulus
4.0,0.0667,5840.0,tail,0.0,2D_annulus
4.0,0.0667,5840.0,spacer,0.0,2D_annulus
4.0,0.0667,5840.0,mud,1.0,2D_annulus
4.0,0.0667,5870.0,lead,0.0,2D_annulus
4.0,0.0667,5870.0,tail,0.0,2D_annulus
4.0,0.0667,5870.0,spacer,0.0,2D_annulus
4.0,0.0667,5870.0,mud,1.0,2D_annulus
4.0,0.0667,5900.0,lead,0.0,2D_annulus
4.0,0.0667,5900.0,tail,0.0,2D_annulus
4.0,0.0667,5900.0,spacer,0.0,2D_annulus
4.0,0.0667,5900.0,mud,1.0,2D_annulus
4.0,0.0667,5930.0,lead,0.0,2D_annulus
4.0,0.0667,5930.0,tail,0.0,2D_annulus
4.0,0.0667,5930.0,spacer,0.0,2D_annulus
4.0,0.0667,5930.0,mud,1.0,2D_annulus
4.0,0.0667,5960.0,lead,0.0,2D_annulus
4.0,0.0667,5960.0,tail,0.0,2D_annulus
4.0,0.0667,5960.0,spacer,0.0,2D_annulus
4.0,0.0667,5960.0,mud,1.0,2D_annulus
4.0,0.0667,5990.0,lead,0.0,2D_annulus
4.0,0.0667,5990.0,tail,0.0,2D_annulus
4.0,0.0667,5990.0,spacer,0.0,2D_annulus
4.0,0.0667,5990.0,mud,1.0,2D_annulus
4.0,0.0667,6000.0,lead,0.0,2D_annulus
4.0,0.0667,6000.0,tail,0.0,2D_annulus
4.0,0.0667,6000.0,spacer,0.0,2D_annulus
4.0,0.0667,6000.0,mud,1.0,2D_annulus
4.0,0.0667,6020.0,lead,0.0,2D_annulus
4.0,0.0667,6020.0,tail,0.0,2D_annulus
4.0,0.0667,6020.0,spacer,0.0,2D_annulus
4.0,0.0667,6020.0,mud,1.0,2D_annulus
4.0,0.0667,6050.0,lead,0.0,2D_annulus
4.0,0.0667,6050.0,tail,0.0,2D_annulus
4.0,0.0667,6050.0,spacer,0.0,2D_annulus
4.0,0.0667,6050.0,mud,1.0,2D_annulus
4.0,0.0667,6080.0,lead,0.0,2D_annulus
4.0,0.0667,6080.0,tail,0.0,2D_annulus
4.0,0.0667,6080.0,spacer,0.0,2D_annulus
4.0,0.0667,6080.0,mud,1.0,2D_annulus
4.0,0.0667,6110.0,lead,0.0,2D_annulus
4.0,0.0667,6110.0,tail,0.0,2D_annulus
4.0,0.0667,6110.0,spacer,0.0,2D_annulus
4.0,0.0667,6110.0,mud,1.0,2D_annulus
4.0,0.0667,6140.0,lead,0.0,2D_annulus
4.0,0.0667,6140.0,tail,0.0,2D_annulus
4.0,0.0667,6140.0,spacer,0.0,2D_annulus
4.0,0.0667,6140.0,mud,1.0,2D_annulus
4.0,0.0667,6170.0,lead,0.0,2D_annulus
4.0,0.0667,6170.0,tail,0.0,2D_annulus
4.0,0.0667,6170.0,spacer,0.0,2D_annulus
4.0,0.0667,6170.0,mud,1.0,2D_annulus
4.0,0.0667,6200.0,lead,0.0,2D_annulus
4.0,0.0667,6200.0,tail,0.0,2D_annulus
4.0,0.0667,6200.0,spacer,0.0,2D_annulus
4.0,0.0667,6200.0,mud,1.0,2D_annulus
4.0,0.0667,6230.0,lead,0.0,2D_annulus
4.0,0.0667,6230.0,tail,0.0,2D_annulus
4.0,0.0667,6230.0,spacer,0.0,2D_annulus
4.0,0.0667,6230.0,mud,1.0,2D_annulus
4.0,0.0667,6260.0,lead,0.0,2D_annulus
4.0,0.0667,6260.0,tail,0.0,2D_annulus
4.0,0.0667,6260.0,spacer,0.0,2D_annulus
4.0,0.0667,6260.0,mud,1.0,2D_annulus
4.0,0.0667,6290.0,lead,0.0,2D_annulus
4.0,0.0667,6290.0,tail,0.0,2D_annulus
4.0,0.0667,6290.0,spacer,0.0,2D_annulus
4.0,0.0667,6290.0,mud,1.0,2D_annulus
4.0,0.0667,6320.0,lead,0.0,2D_annulus
4.0,0.0667,6320.0,tail,0.0,2D_annulus
4.0,0.0667,6320.0,spacer,0.0,2D_annulus
4.0,0.0667,6320.0,mud,1.0,2D_annulus
4.0,0.0667,6350.0,lead,0.0,2D_annulus
4.0,0.0667,6350.0,tail,0.0,2D_annulus
4.0,0.0667,6350.0,spacer,0.0,2D_annulus
4.0,0.0667,6350.0,mud,1.0,2D_annulus
4.0,0.0667,6380.0,lead,0.0,2D_annulus
4.0,0.0667,6380.0,tail,0.0,2D_annulus
4.0,0.0667,6380.0,spacer,0.0,2D_annulus
4.0,0.0667,6380.0,mud,1.0,2D_annulus
4.0,0.0667,6410.0,lead,0.0,2D_annulus
4.0,0.0667,6410.0,tail,0.0,2D_annulus
4.0,0.0667,6410.0,spacer,0.0,2D_annulus
4.0,0.0667,6410.0,mud,1.0,2D_annulus
4.0,0.0667,6440.0,lead,0.0,2D_annulus
4.0,0.0667,6440.0,tail,0.0,2D_annulus
4.0,0.0667,6440.0,spacer,0.0,2D_annulus
4.0,0.0667,6440.0,mud,1.0,2D_annulus
4.0,0.0667,6470.0,lead,0.0,2D_annulus
4.0,0.0667,6470.0,tail,0.0,2D_annulus
4.0,0.0667,6470.0,spacer,0.0,2D_annulus
4.0,0.0667,6470.0,mud,1.0,2D_annulus
4.0,0.0667,6500.0,lead,0.0,2D_annulus
4.0,0.0667,6500.0,tail,0.0,2D_annulus
4.0,0.0667,6500.0,spacer,0.0,2D_annulus
4.0,0.0667,6500.0,mud,1.0,2D_annulus
4.0,0.0667,6530.0,lead,0.0,2D_annulus
4.0,0.0667,6530.0,tail,0.0,2D_annulus
4.0,0.0667,6530.0,spacer,0.0,2D_annulus
4.0,0.0667,6530.0,mud,1.0,2D_annulus
4.0,0.0667,6560.0,lead,0.0,2D_annulus
4.0,0.0667,6560.0,tail,0.0,2D_annulus
4.0,0.0667,6560.0,spacer,0.0,2D_annulus
4.0,0.0667,6560.0,mud,1.0,2D_annulus
4.0,0.0667,6590.0,lead,0.0,2D_annulus
4.0,0.0667,6590.0,tail,0.0,2D_annulus
4.0,0.0667,6590.0,spacer,0.0,2D_annulus
4.0,0.0667,6590.0,mud,1.0,2D_annulus
4.0,0.0667,6620.0,lead,0.0,2D_annulus
4.0,0.0667,6620.0,tail,0.0,2D_annulus
4.0,0.0667,6620.0,spacer,0.0,2D_annulus
4.0,0.0667,6620.0,mud,1.0,2D_annulus
4.0,0.0667,6650.0,lead,0.0,2D_annulus
4.0,0.0667,6650.0,tail,0.0,2D_annulus
4.0,0.0667,6650.0,spacer,0.0,2D_annulus
4.0,0.0667,6650.0,mud,1.0,2D_annulus
4.0,0.0667,6680.0,lead,0.0,2D_annulus
4.0,0.0667,6680.0,tail,0.0,2D_annulus
4.0,0.0667,6680.0,spacer,0.0,2D_annulus
4.0,0.0667,6680.0,mud,1.0,2D_annulus
4.0,0.0667,6710.0,lead,0.0,2D_annulus
4.0,0.0667,6710.0,tail,0.0,2D_annulus
4.0,0.0667,6710.0,spacer,0.0,2D_annulus
4.0,0.0667,6710.0,mud,1.0,2D_annulus
4.0,0.0667,6740.0,lead,0.0,2D_annulus
4.0,0.0667,6740.0,tail,0.0,2D_annulus
4.0,0.0667,6740.0,spacer,0.0,2D_annulus
4.0,0.0667,6740.0,mud,1.0,2D_annulus
4.0,0.0667,6770.0,lead,0.0,2D_annulus
4.0,0.0667,6770.0,tail,0.0,2D_annulus
4.0,0.0667,6770.0,spacer,0.0,2D_annulus
4.0,0.0667,6770.0,mud,1.0,2D_annulus
4.0,0.0667,6800.0,lead,0.0,2D_annulus
4.0,0.0667,6800.0,tail,0.0,2D_annulus
4.0,0.0667,6800.0,spacer,0.0,2D_annulus
4.0,0.0667,6800.0,mud,1.0,2D_annulus
4.0,0.0667,6830.0,lead,0.0,2D_annulus
4.0,0.0667,6830.0,tail,0.0,2D_annulus
4.0,0.0667,6830.0,spacer,0.0,2D_annulus
4.0,0.0667,6830.0,mud,1.0,2D_annulus
4.0,0.0667,6860.0,lead,0.0,2D_annulus
4.0,0.0667,6860.0,tail,0.0,2D_annulus
4.0,0.0667,6860.0,spacer,0.0,2D_annulus
4.0,0.0667,6860.0,mud,1.0,2D_annulus
4.0,0.0667,6880.0,lead,0.0,2D_annulus
4.0,0.0667,6880.0,tail,0.0,2D_annulus
4.0,0.0667,6880.0,spacer,0.0,2D_annulus
4.0,0.0667,6880.0,mud,1.0,2D_annulus
4.0,0.0667,6890.0,lead,0.0,2D_annulus
4.0,0.0667,6890.0,tail,0.0,2D_annulus
4.0,0.0667,6890.0,spacer,0.0,2D_annulus
4.0,0.0667,6890.0,mud,1.0,2D_annulus
4.0,0.0667,6920.0,lead,0.0,2D_annulus
4.0,0.0667,6920.0,tail,0.0,2D_annulus
4.0,0.0667,6920.0,spacer,0.0,2D_annulus
4.0,0.0667,6920.0,mud,1.0,2D_annulus
4.0,0.0667,6950.0,lead,0.0,2D_annulus
4.0,0.0667,6950.0,tail,0.0,2D_annulus
4.0,0.0667,6950.0,spacer,0.0,2D_annulus
4.0,0.0667,6950.0,mud,1.0,2D_annulus
4.0,0.0667,6980.0,lead,0.0,2D_annulus
4.0,0.0667,6980.0,tail,0.0,2D_annulus
4.0,0.0667,6980.0,spacer,0.0,2D_annulus
4.0,0.0667,6980.0,mud,1.0,2D_annulus
4.0,0.0667,7000.0,lead,0.0,2D_annulus
4.0,0.0667,7000.0,tail,0.0,2D_annulus
4.0,0.0667,7000.0,spacer,0.0,2D_annulus
4.0,0.0667,7000.0,mud,1.0,2D_annulus
4.0,0.0667,7010.0,lead,0.0,2D_annulus
4.0,0.0667,7010.0,tail,0.0,2D_annulus
4.0,0.0667,7010.0,spacer,0.0,2D_annulus
4.0,0.0667,7010.0,mud,1.0,2D_annulus
4.0,0.0667,7040.0,lead,0.0,2D_annulus
4.0,0.0667,7040.0,tail,0.0,2D_annulus
4.0,0.0667,7040.0,spacer,0.0,2D_annulus
4.0,0.0667,7040.0,mud,1.0,2D_annulus
4.0,0.0667,7059.016,lead,0.0,2D_annulus
4.0,0.0667,7059.016,tail,0.0,2D_annulus
4.0,0.0667,7059.016,spacer,0.0,2D_annulus
4.0,0.0667,7059.016,mud,1.0,2D_annulus
4.0,0.0667,7070.0,lead,0.0,2D_annulus
4.0,0.0667,7070.0,tail,0.0,2D_annulus
4.0,0.0667,7070.0,spacer,0.0,2D_annulus
4.0,0.0667,7070.0,mud,1.0,2D_annulus
4.0,0.0667,7096.0,lead,0.0,2D_annulus
4.0,0.0667,7096.0,tail,0.0,2D_annulus
4.0,0.0667,7096.0,spacer,0.0,2D_annulus
4.0,0.0667,7096.0,mud,1.0,2D_annulus
4.0,0.0667,7100.0,lead,0.0,2D_annulus
4.0,0.0667,7100.0,tail,0.0,2D_annulus
4.0,0.0667,7100.0,spacer,0.0,2D_annulus
4.0,0.0667,7100.0,mud,1.0,2D_annulus
4.0,0.0667,7130.0,lead,0.0,2D_annulus
4.0,0.0667,7130.0,tail,0.0,2D_annulus
4.0,0.0667,7130.0,spacer,0.0,2D_annulus
4.0,0.0667,7130.0,mud,1.0,2D_annulus
4.0,0.0667,7160.0,lead,0.0,2D_annulus
4.0,0.0667,7160.0,tail,0.0,2D_annulus
4.0,0.0667,7160.0,spacer,0.0,2D_annulus
4.0,0.0667,7160.0,mud,1.0,2D_annulus
4.0,0.0667,7190.0,lead,0.0,2D_annulus
4.0,0.0667,7190.0,tail,0.0,2D_annulus
4.0,0.0667,7190.0,spacer,0.0,2D_annulus
4.0,0.0667,7190.0,mud,1.0,2D_annulus
4.0,0.0667,7220.0,lead,0.0,2D_annulus
4.0,0.0667,7220.0,tail,0.0,2D_annulus
4.0,0.0667,7220.0,spacer,0.0,2D_annulus
4.0,0.0667,7220.0,mud,1.0,2D_annulus
4.0,0.0667,7250.0,lead,0.0,2D_annulus
4.0,0.0667,7250.0,tail,0.0,2D_annulus
4.0,0.0667,7250.0,spacer,0.0,2D_annulus
4.0,0.0667,7250.0,mud,1.0,2D_annulus
4.0,0.0667,7280.0,lead,0.0,2D_annulus
4.0,0.0667,7280.0,tail,0.0,2D_annulus
4.0,0.0667,7280.0,spacer,0.0,2D_annulus
4.0,0.0667,7280.0,mud,1.0,2D_annulus
4.0,0.0667,7310.0,lead,0.0,2D_annulus
4.0,0.0667,7310.0,tail,0.0,2D_annulus
4.0,0.0667,7310.0,spacer,0.0,2D_annulus
4.0,0.0667,7310.0,mud,1.0,2D_annulus
4.0,0.0667,7340.0,lead,0.0,2D_annulus
4.0,0.0667,7340.0,tail,0.0,2D_annulus
4.0,0.0667,7340.0,spacer,0.0,2D_annulus
4.0,0.0667,7340.0,mud,1.0,2D_annulus
4.0,0.0667,7370.0,lead,0.0,2D_annulus
4.0,0.0667,7370.0,tail,0.0,2D_annulus
4.0,0.0667,7370.0,spacer,0.0,2D_annulus
4.0,0.0667,7370.0,mud,1.0,2D_annulus
4.0,0.0667,7400.0,lead,0.0,2D_annulus
4.0,0.0667,7400.0,tail,0.0,2D_annulus
4.0,0.0667,7400.0,spacer,0.0,2D_annulus
4.0,0.0667,7400.0,mud,1.0,2D_annulus
4.0,0.0667,7430.0,lead,0.0,2D_annulus
4.0,0.0667,7430.0,tail,0.0,2D_annulus
4.0,0.0667,7430.0,spacer,0.0,2D_annulus
4.0,0.0667,7430.0,mud,1.0,2D_annulus
