time_s,time_min,stage,bulk_cement_fill,effective_efficiency,target_interval_efficiency,cbl_eval_interval_efficiency,cbl_quality_proxy,front_wide_m,front_narrow_m,front_mid_m,channeling_index,mixing_index,instability_proxy,instability_index,mean_wall_mud,mean_cement,mean_mud
0.0,0.0,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999990700622226,0.0,0.9976015873023906
4.0,0.06666666666666667,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999977755718259,0.0,0.9966691609696985
8.0,0.13333333333333333,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999605169011744,0.0,0.995707361305535
12.0,0.2,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999388712320589,0.0,0.9947762882012355
16.0,0.26666666666666666,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999126852352971,0.0,0.993847944265419
20.0,0.3333333333333333,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998819116664017,0.0,0.9929298174162301
24.0,0.4,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998465597486773,0.0,0.9920232222660647
28.0,0.4666666666666667,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998066135743243,0.0,0.9911173428124014
32.0,0.5333333333333333,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999762139569151,0.0,0.9902241211329806
36.0,0.6,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999713667123489,0.0,0.9894134546108093
40.0,0.6666666666666666,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996609056584624,0.0,0.9885396657388504
44.0,0.7333333333333333,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996050930361278,0.0,0.9879136879207383
48.0,0.8,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995456650406445,0.0,0.9871268646207682
52.0,0.8666666666666667,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994839438079333,0.0,0.9866740010823569
56.0,0.9333333333333333,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994173041269583,0.0,0.9856905239573244
60.0,1.0,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993485131332367,0.0,0.9852565929708331
64.0,1.0666666666666667,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992756602256684,0.0,0.9843417026466869
68.0,1.1333333333333333,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992007824414831,0.0,0.9838691612264622
72.0,1.2,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991215598289623,0.0,0.9828850800262807
76.0,1.2666666666666666,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990413350909574,0.0,0.9826253531821174
80.0,1.3333333333333333,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989559704796044,0.0,0.9814713600206405
84.0,1.4,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998869342945276,0.0,0.981171650916614
88.0,1.4666666666666666,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998777611050262,0.0,0.9800373259903634
92.0,1.5333333333333334,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998685400020583,0.0,0.9798974912500328
96.0,1.6,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998588372909967,0.0,0.978806211500047
100.0,1.6666666666666667,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9984919749641551,0.0,0.9788935133235064
104.0,1.7333333333333334,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983908680683015,0.0,0.9777751497193167
108.0,1.8,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982893416147268,0.0,0.9776017413501235
112.0,1.8666666666666667,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981832540566451,0.0,0.9765533648009458
116.0,1.9333333333333333,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980761715789925,0.0,0.9762948506313185
120.0,2.0,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979647293220096,0.0,0.9752910051543451
124.0,2.066666666666667,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9978532590358656,0.0,0.9751910432433347
128.0,2.1333333333333333,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977367370667315,0.0,0.9740408015604531
132.0,2.2,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976199479356039,0.0,0.9739297107133058
136.0,2.2666666666666666,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974975719573936,0.0,0.9726567384698114
140.0,2.3333333333333335,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9973744120241456,0.0,0.972442635110716
144.0,2.4,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972473307145264,0.0,0.9714593392383858
148.0,2.466666666666667,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971193006196379,0.0,0.9711769478308686
152.0,2.533333333333333,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9969878809632049,0.0,0.9703237914165691
156.0,2.6,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9968542659259739,0.0,0.969895981398968
160.0,2.6666666666666665,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967176877379612,0.0,0.9691139927557298
164.0,2.7333333333333334,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9965788437167015,0.0,0.968623069748465
168.0,2.8,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964365489291346,0.0,0.9677756518967144
172.0,2.8666666666666667,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962931019644028,0.0,0.9674881493935771
176.0,2.933333333333333,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9961462132947292,0.0,0.9665364939690589
180.0,3.0,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995998544951879,0.0,0.9663192708002006
184.0,3.066666666666667,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958482192722744,0.0,0.9654314379727533
188.0,3.1333333333333333,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995696143051252,0.0,0.9650804597950783
192.0,3.2,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9955402929574672,0.0,0.964084495291235
196.0,3.2666666666666666,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9953826690256221,0.0,0.9636982132760537
200.0,3.3333333333333335,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9952234206248237,0.0,0.9630431786720619
204.0,3.4,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9950620154011778,0.0,0.9625750838950414
208.0,3.466666666666667,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9948980765300312,0.0,0.9618467991892247
212.0,3.533333333333333,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947330222726776,0.0,0.9615200038520084
216.0,3.6,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9945655986846031,0.0,0.9608653131768504
220.0,3.6666666666666665,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9943953234158074,0.0,0.9602178437752477
224.0,3.7333333333333334,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942229148852497,0.0,0.9595982096925485
228.0,3.8,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940484340637776,0.0,0.9590480791273632
232.0,3.8666666666666667,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9938713645741329,0.0,0.9583146131733762
236.0,3.933333333333333,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9936893658038262,0.0,0.9573115149847008
240.0,4.0,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9935060683777356,0.0,0.9568714210822329
244.0,4.066666666666666,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9933204562972272,0.0,0.956235568478011
248.0,4.133333333333334,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931332357086287,0.0,0.9558060007665153
252.0,4.2,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9929434332955307,0.0,0.9550382218632145
256.0,4.266666666666667,注平衡液,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9927515115468641,0.0,0.9545261271638373
